Name
------------------
VICE-Sharp-CI
VICE-Sharp-Release
---
Build        Def                 Status     Result     SourceBranch                                 Finish
-----------  ------------------  ---------  ---------  -------------------------------------------  --------------------------------
20260715.1   VICE-Sharp-CI       completed  succeeded  refs/heads/main                              2026-07-15T05:29:37.340741+00:00
20260713.2   VICE-Sharp-CI       completed  succeeded  refs/heads/feat/drive-family-and-device-art  2026-07-13T07:06:20.069758+00:00
20260713.1   VICE-Sharp-CI       completed  failed     refs/heads/feat/drive-family-and-device-art  2026-07-13T07:04:59.106222+00:00
20260712.2   VICE-Sharp-CI       completed  succeeded  refs/heads/feat/drive-family-and-device-art  2026-07-12T13:20:53.401047+00:00
20260712.1   VICE-Sharp-CI       completed  succeeded  refs/heads/feat/drive-family-and-device-art  2026-07-12T11:44:32.927214+00:00
20260711.10  VICE-Sharp-CI       completed  succeeded  refs/heads/feat/drive-family-and-device-art  2026-07-11T16:13:52.588540+00:00
20260711.9   VICE-Sharp-CI       completed  succeeded  refs/heads/feat/drive-family-and-device-art  2026-07-11T15:28:56.384204+00:00
20260711.8   VICE-Sharp-CI       completed  succeeded  refs/heads/feat/drive-family-and-device-art  2026-07-11T14:47:31.358072+00:00
20260711.7   VICE-Sharp-CI       completed  succeeded  refs/heads/main                              2026-07-11T02:46:56.921511+00:00
20260711.6   VICE-Sharp-CI       completed  succeeded  refs/heads/master                            2026-07-11T02:24:46.342005+00:00
20260711.5   VICE-Sharp-CI       completed  succeeded  refs/heads/main                              2026-07-11T02:23:57.022222+00:00
20260711.4   VICE-Sharp-CI       completed  succeeded  refs/heads/master                            2026-07-11T02:21:30.521877+00:00
20260711.3   VICE-Sharp-CI       completed  succeeded  refs/heads/main                              2026-07-11T02:21:26.938923+00:00
20260711.1   VICE-Sharp-Release  completed  failed     refs/tags/v1.1.0                             2026-07-11T00:38:46.907996+00:00
20260711.2   VICE-Sharp-CI       completed  failed     refs/heads/master                            2026-07-11T00:31:21.422292+00:00
