
    Id ProcessName   CPU StartTime
    -- -----------   --- ---------
  8756 dotnet       9.67 8/5/2026 6:48:44 AM
  9196 dotnet      47.97 8/5/2026 5:59:09 AM
 11212 dotnet      44.45 8/5/2026 5:59:09 AM
 20412 dotnet      44.75 8/5/2026 5:04:24 AM
 22708 dotnet      28.80 8/5/2026 5:34:48 AM
 27988 dotnet      23.33 8/5/2026 5:59:09 AM
 37508 dotnet      29.19 8/5/2026 5:04:26 AM
 40340 dotnet      19.92 8/5/2026 5:59:09 AM
 46612 dotnet      20.86 8/5/2026 5:59:09 AM
 53516 dotnet       7.45 8/5/2026 6:43:10 AM
 54592 dotnet      18.89 8/5/2026 5:59:09 AM
 70676 dotnet      21.30 8/5/2026 5:04:26 AM
112508 dotnet       5.36 8/5/2026 6:43:10 AM
115852 dotnet       2.36 8/5/2026 6:48:39 AM
116176 dotnet       4.94 8/5/2026 6:43:10 AM
125520 dotnet       0.83 8/5/2026 6:48:44 AM
 64644 gsudo        0.08 8/5/2026 6:50:11 AM

